QR code,ent,name,FPhilm,Trial,test,plot,geometry,FP2,Ht,Pod,Mat,Lod,Yld,oil ,protein,notes,rep,loc,locc,rng,row,run,field,Sds/env,,source,,,parents,trait,0,2.5.7,geno,"1,2,3",Reg tests,Variety,
2441ABLV801,28,LD22-10434,PGibl,2441A,2441ABLV,801,"POLYGON ((2 16, 3 16, 3 17, 2 17, 2 16))",,,,-9,1,-9,20.9,34.4,poor stand,1,Belleville,BLV,,,,,800,,2358B-34,,,LD15-1628 x LD11-2170,Rhg1 88788,,,RSSS,SS,,,28
2441ABLV802,6,LD18-7512,PGibl,2441A,2441ABLV,802,"POLYGON ((3 16, 4 16, 4 17, 3 17, 3 16))",,,,-9,1,-9,22.2,31.8,poor stand,1,Belleville,BLV,,,,,800,,2341A-7,23 INC Demo,,U11-614119 x LD12-3866,SCN,14,,RSS,SSS,,Illini 4167N,6
2441ABLV803,21,LD22-8395,MLtbl/br,2441A,2441ABLV,803,"POLYGON ((4 16, 5 16, 5 17, 4 17, 4 16))",,,,-9,1.5,47.4,22.2,33.2,,1,Belleville,BLV,,,,,800,,2385A-12,,,LD18-14554 x 2170 HOLL (201-248),"HOLL Rs2, Rhg1 88788",,,RSSS,SS,,,21
2441ABLV804,26,LD22-8713,MLtbr,2441A,2441ABLV,804,"POLYGON ((5 16, 6 16, 6 17, 5 17, 5 16))",,,,-9,1,50.5,21.6,33.9,,1,Belleville,BLV,,,,,800,,2385A-19,,,LD18-14216 x LD11-2170 HOLL (532-560),"HOLL, Rhg1 88788",,,RSSS,SS,,,26
2441ABLV805,12,LD21-3582,PLtLbl,2441A,2441ABLV,805,"POLYGON ((6 16, 7 16, 7 17, 6 17, 6 16))",,,,-9,1,-9,-9,-9,poor stand,1,Belleville,BLV,,,,,800,,2341A-19,,,LD15-5776793 x LDX18-256-2-2,"HOLL, Rhg1 88788",,,RSSS,SS,"24 PT 4TM, MSMC",,12
2441ABLV806,22,LD22-8555,PMbr/bf,2441A,2441ABLV,806,"POLYGON ((2 17, 3 17, 3 18, 2 18, 2 17))",,,,-9,1,40.6,21.4,34.8,,1,Belleville,BLV,,,,,800,,2385A-14,,,LD18-12663 x 2170 HOLL (201-248),"HOLL Rs2, Rhg1 88788",,,RSSS,SS,,,22
2441ABLV807,30,LD22-3011904,WLtbl,2441A,2441ABLV,807,"POLYGON ((3 17, 4 17, 4 18, 3 18, 3 17))",,,,-9,1,38.8,21.3,33.4,,1,Belleville,BLV,,,,,800,,23HOLL3B-11,,,SA18-268PR  x  LD18-7512,"HOLL, Rhg1 88788",,,RSSS,SS,,,30
2441ABLV808,20,LD22-6540,PMLbl,2441A,2441ABLV,808,"POLYGON ((4 17, 5 17, 5 18, 4 18, 4 17))",,,,-9,1,42.5,21.2,33.7,,1,Belleville,BLV,,,,,800,,23GS09-28,,,LD18-12776 x LD18-12663,"HOLL, Rhg1 88788",,,RSSS,SS,,,20
2441ABLV809,9,LD20-12210,PLtbl/Lbl,2441A,2441ABLV,809,"POLYGON ((5 17, 6 17, 6 18, 5 18, 5 17))",,,,-9,1,50.7,22,33.2,,1,Belleville,BLV,,,,,800,,2341A-13,23 INC,,LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-5776793 (X) LD16-10150(LD10-10198 x KB13-15F314-224) x LD15-3818,"HOLL, Rhg1 88788",,,RSSS,SSS,"24 PT 4TM, MSMC",24PR INC,9
2441ABLV810,16,LD22-6253,MGbf/ibl,2441A,2441ABLV,810,"POLYGON ((6 17, 7 17, 7 18, 6 18, 6 17))",,,,-9,1.5,54.1,21.9,32.4,,1,Belleville,BLV,,,,,800,,23GS08-27,,,S13-2743C x LD15-5776793,Rhg1 88788,,,RSSS,SS,,,16
