Block,Row,Col,X_ft,Y_ft,Entry,Plot_ID,Latitude,Longitude,GPS_Latitude,GPS_Longitude
B1,0.0,0.0,12.92,14.0,AG34XF6,P024,40.06553846153846,-88.20637517002082,,
B1,0.0,1.0,19.76,14.0,LG3216,P025,40.06553846153846,-88.20635143650242,,
B1,0.0,2.0,26.59,14.0,AG35XF5,P026,40.06553846153846,-88.20632773768216,40.115164,6.3e-05
B1,0.0,3.0,33.43,14.0,LG3216,P027,40.06553846153846,-88.20630400416377,,
B1,0.0,4.0,40.27,14.0,AG36XF4,P028,40.06553846153846,-88.20628027064538,,
B1,1.0,0.0,12.92,24.0,LG3216,P029,40.06556593406594,-88.20637517002082,,
B1,1.0,1.0,19.76,24.0,AG29XF5,P030,40.06556593406594,-88.20635143650242,,
B1,1.0,2.0,26.59,24.0,LG3216,P031,40.06556593406594,-88.20632773768216,,
B1,1.0,3.0,33.43,24.0,AG29XF4,P032,40.06556593406594,-88.20630400416377,40.115208,0.0001
B1,1.0,4.0,40.27,24.0,LG3216,P033,40.06556593406594,-88.20628027064538,,
B1,2.0,0.0,12.92,34.0,AG40XFF5,P034,40.06559340659341,-88.20637517002082,,
B1,2.0,1.0,19.76,34.0,LG3216,P035,40.06559340659341,-88.20635143650242,40.115228,4e-05
B1,2.0,2.0,26.59,34.0,AG38XF6,P036,40.06559340659341,-88.20632773768216,,
B1,2.0,3.0,33.43,34.0,LG3216,P037,40.06559340659341,-88.20630400416377,,
B1,2.0,4.0,40.27,34.0,AG36XF4,P038,40.06559340659341,-88.20628027064538,,
B1,3.0,0.0,12.92,44.0,LG3216,P039,40.06562087912088,-88.20637517002082,,
B1,3.0,1.0,19.76,44.0,AG38XF6,P040,40.06562087912088,-88.20635143650242,,
B1,3.0,2.0,26.59,44.0,LG3216,P041,40.06562087912088,-88.20632773768216,,
B1,3.0,3.0,33.43,44.0,AG29XF5,P042,40.06562087912088,-88.20630400416377,40.115032,0.00021
B1,3.0,4.0,40.27,44.0,LG3216,P043,40.06562087912088,-88.20628027064538,,
B1,4.0,0.0,12.92,54.0,AG29XF4,P044,40.06564835164835,-88.20637517002082,,
B1,4.0,1.0,19.76,54.0,LG3216,P045,40.06564835164835,-88.20635143650242,,
B1,4.0,2.0,26.59,54.0,AG34XF6,P046,40.06564835164835,-88.20632773768216,,
B1,4.0,3.0,33.43,54.0,LG3216,P047,40.06564835164835,-88.20630400416377,,
B1,4.0,4.0,40.27,54.0,AG40XFF5,P048,40.06564835164835,-88.20628027064538,,
B1,5.0,0.0,12.92,64.0,LG3216,P049,40.06567582417583,-88.20637517002082,40.115055,0.000265
B1,5.0,1.0,19.76,64.0,AG35XF5,P050,40.06567582417583,-88.20635143650242,,
B1,5.0,2.0,26.59,64.0,LG3216,P051,40.06567582417583,-88.20632773768216,40.115087,0.000199
B1,5.0,3.0,33.43,64.0,AG36XF4,P052,40.06567582417583,-88.20630400416377,,
B1,5.0,4.0,40.27,64.0,LG3216,P053,40.06567582417583,-88.20628027064538,,
B1,6.0,0.0,12.92,74.0,AG35XF5,P054,40.0657032967033,-88.20637517002082,,
B1,6.0,1.0,19.76,74.0,LG3216,P055,40.0657032967033,-88.20635143650242,,
B1,6.0,2.0,26.59,74.0,AG34XF6,P056,40.0657032967033,-88.20632773768216,,
B1,6.0,3.0,33.43,74.0,LG3216,P057,40.0657032967033,-88.20630400416377,,
B1,6.0,4.0,40.27,74.0,AG29XF5,P058,40.0657032967033,-88.20628027064538,,
B1,7.0,0.0,12.92,84.0,LG3216,P059,40.06573076923077,-88.20637517002082,,
B1,7.0,1.0,19.76,84.0,AG40XFF5,P060,40.06573076923077,-88.20635143650242,40.115137,0.000165
B1,7.0,2.0,26.59,84.0,LG3216,P061,40.06573076923077,-88.20632773768216,,
B1,7.0,3.0,33.43,84.0,AG38XF6,P062,40.06573076923077,-88.20630400416377,,
B1,7.0,4.0,40.27,84.0,LG3216,P063,40.06573076923077,-88.20628027064538,,
B2,0.0,0.0,48.36,14.0,LD20-4542,P064,40.06553846153846,-88.2062521998612,,
B2,0.0,1.0,55.19,14.0,AG29XF5,P065,40.06553846153846,-88.20622850104094,,
B2,0.0,2.0,62.03,14.0,LD11-2170,P066,40.06553846153846,-88.20620476752255,40.11517,0.000199
B2,0.0,3.0,68.87,14.0,AG29XF4,P067,40.06553846153846,-88.20618103400416,,
B2,0.0,4.0,75.71,14.0,LD20-4471,P068,40.06553846153846,-88.20615730048577,,
B2,1.0,0.0,48.36,24.0,AG29XF4,P069,40.06556593406594,-88.2062521998612,,
B2,1.0,1.0,55.19,24.0,LD20-5413,P070,40.06556593406594,-88.20622850104094,,
B2,1.0,2.0,62.03,24.0,AG29XF5,P071,40.06556593406594,-88.20620476752255,,
B2,1.0,3.0,68.87,24.0,LD22-4283,P072,40.06556593406594,-88.20618103400416,,
B2,1.0,4.0,75.71,24.0,AG29XF5,P073,40.06556593406594,-88.20615730048577,40.115206,0.000232
B2,2.0,0.0,48.36,34.0,LD20-5738,P074,40.06559340659341,-88.2062521998612,,
B2,2.0,1.0,55.19,34.0,AG29XF4,P075,40.06559340659341,-88.20622850104094,40.115223,0.000163
B2,2.0,2.0,62.03,34.0,LD21-5253,P076,40.06559340659341,-88.20620476752255,,
B2,2.0,3.0,68.87,34.0,AG29XF4,P077,40.06559340659341,-88.20618103400416,,
B2,2.0,4.0,75.71,34.0,LD20-4988,P078,40.06559340659341,-88.20615730048577,,
B2,3.0,0.0,48.36,44.0,AG29XF5,P079,40.06562087912088,-88.2062521998612,,
B2,3.0,1.0,55.19,44.0,LD21-7234,P080,40.06562087912088,-88.20622850104094,,
B2,3.0,2.0,62.03,44.0,AG29XF4,P081,40.06562087912088,-88.20620476752255,,
B2,3.0,3.0,68.87,44.0,LD20-4471,P082,40.06562087912088,-88.20618103400416,40.115033,0.000337
B2,3.0,4.0,75.71,44.0,AG29XF5,P083,40.06562087912088,-88.20615730048577,,
B2,4.0,0.0,48.36,54.0,LD11-2170,P084,40.06564835164835,-88.2062521998612,,
B2,4.0,1.0,55.19,54.0,AG29XF5,P085,40.06564835164835,-88.20622850104094,,
B2,4.0,2.0,62.03,54.0,LD20-5738,P086,40.06564835164835,-88.20620476752255,,
B2,4.0,3.0,68.87,54.0,AG29XF4,P087,40.06564835164835,-88.20618103400416,,
B2,4.0,4.0,75.71,54.0,LD20-4542,P088,40.06564835164835,-88.20615730048577,,
B2,5.0,0.0,48.36,64.0,AG29XF4,P089,40.06567582417583,-88.2062521998612,,
B2,5.0,1.0,55.19,64.0,LD20-4988,P090,40.06567582417583,-88.20622850104094,,
B2,5.0,2.0,62.03,64.0,AG29XF5,P091,40.06567582417583,-88.20620476752255,,
B2,5.0,3.0,68.87,64.0,LD22-4283,P092,40.06567582417583,-88.20618103400416,,
B2,5.0,4.0,75.71,64.0,AG29XF4,P093,40.06567582417583,-88.20615730048577,40.115105,0.000356
B2,6.0,0.0,48.36,74.0,LD20-5413,P094,40.0657032967033,-88.2062521998612,,
B2,6.0,1.0,55.19,74.0,AG29XF5,P095,40.0657032967033,-88.20622850104094,40.11512,0.000285
B2,6.0,2.0,62.03,74.0,LD21-5253,P096,40.0657032967033,-88.20620476752255,,
B2,6.0,3.0,68.87,74.0,AG29XF5,P097,40.0657032967033,-88.20618103400416,,
B2,6.0,4.0,75.71,74.0,LD21-7234,P098,40.0657032967033,-88.20615730048577,,
B2,7.0,0.0,48.36,84.0,AG29XF4,P099,40.06573076923077,-88.2062521998612,,
B2,7.0,1.0,55.19,84.0,LD20-5738,P100,40.06573076923077,-88.20622850104094,,
B2,7.0,2.0,62.03,84.0,AG29XF5,P101,40.06573076923077,-88.20620476752255,,
B2,7.0,3.0,68.87,84.0,LD20-4471,P102,40.06573076923077,-88.20618103400416,,
B2,7.0,4.0,75.71,84.0,AG29XF4,P103,40.06573076923077,-88.20615730048577,,
B3,0.0,0.0,83.79,14.0,LD21-5944,P104,40.06553846153846,-88.20612926439972,,
B3,0.0,1.0,90.63,14.0,LG3216,P105,40.06553846153846,-88.20610553088133,,
B3,0.0,2.0,97.47,14.0,LD11-2170,P106,40.06553846153846,-88.20608179736294,,
B3,0.0,3.0,104.31,14.0,LG3216,P107,40.06553846153846,-88.20605806384455,,
B3,0.0,4.0,111.14,14.0,LD20-11748,P108,40.06553846153846,-88.20603436502428,40.115176,0.000351
B3,1.0,0.0,83.79,24.0,LG3216,P109,40.06556593406594,-88.20612926439972,,
B3,1.0,1.0,90.63,24.0,LD22-4283,P110,40.06556593406594,-88.20610553088133,40.115191,0.000293
B3,1.0,2.0,97.47,24.0,LG3216,P111,40.06556593406594,-88.20608179736294,,
B3,1.0,3.0,104.31,24.0,LD17-10473F,P112,40.06556593406594,-88.20605806384455,,
B3,1.0,4.0,111.14,24.0,LG3216,P113,40.06556593406594,-88.20603436502428,,
B3,2.0,0.0,83.79,34.0,LD20-4542,P114,40.06559340659341,-88.20612926439972,,
B3,2.0,1.0,90.63,34.0,LG3216,P115,40.06559340659341,-88.20610553088133,,
B3,2.0,2.0,97.47,34.0,LD21-3090,P116,40.06559340659341,-88.20608179736294,,
B3,2.0,3.0,104.31,34.0,LG3216,P117,40.06559340659341,-88.20605806384455,,
B3,2.0,4.0,111.14,34.0,LD00-2817P,P118,40.06559340659341,-88.20603436502428,,
B3,3.0,0.0,83.79,44.0,LG3216,P119,40.06562087912088,-88.20612926439972,,
