SampleID,Sample_X_ft,Sample_Y_ft,GPS_Latitude,GPS_Longitude,Decimal_Latitude,Decimal_Longitude
S001,11.53,148.8759999991487,40-06-55.47,00-00-00.14,40.115409,4e-05
S002,108.29,148.14799999840034,40-06-55.47,00-00-01.35,40.115407,0.000376
S003,21.05,233.68799999968815,40-06-56.31,00-00-00.26,40.115642,7.3e-05
S004,159.32,191.09999999858474,40-06-55.89,00-00-01.99,40.115525,0.000553
S005,117.9,59.69599999929187,40-06-54.59,00-00-01.47,40.115164,0.000409
S006,127.75,105.19599999821594,40-06-55.04,00-00-01.60,40.115289,0.000443
S007,156.19,221.67599999897902,40-06-56.19,00-00-01.95,40.115609,0.000542
S008,84.79,232.9599999989398,40-06-56.30,00-00-01.06,40.11564,0.000294
S009,102.74,165.98399999992353,40-06-55.64,00-00-01.28,40.115456,0.000356
S010,129.73,42.9520000001844,40-06-54.42,00-00-01.62,40.115118,0.00045
S011,153.48,149.23999999822968,40-06-55.48,00-00-01.92,40.11541,0.000533
S012,18.06,59.69599999929187,40-06-54.59,00-00-00.23,40.115164,6.3e-05
S013,112.32,238.78399999975386,40-06-56.36,00-00-01.40,40.115656,0.00039
S014,23.26,5.459999999146703,40-06-54.05,00-00-00.29,40.115015,8.1e-05
S015,136.52,78.62399999805803,40-06-54.78,00-00-01.71,40.115216,0.000474
S016,81.64,194.73999999974012,40-06-55.93,00-00-01.02,40.115535,0.000283
S017,101.19,64.06399999860923,40-06-54.63,00-00-01.26,40.115176,0.000351
S018,84.56,69.52400000034231,40-06-54.69,00-00-01.06,40.115191,0.000293
S019,148.62,88.81599999818945,40-06-54.88,00-00-01.86,40.115244,0.000516
S020,148.55,204.5679999982042,40-06-56.02,00-00-01.86,40.115562,0.000515
S021,144.05,64.4280000002766,40-06-54.64,00-00-01.80,40.115177,0.0005
S022,46.97,81.17199999938407,40-06-54.80,00-00-00.59,40.115223,0.000163
S023,26.46,190.73599999950375,40-06-55.89,00-00-00.33,40.115524,9.2e-05
S024,144.2,184.5479999996087,40-06-55.82,00-00-01.80,40.115507,0.0005
